date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
6/1/2020,"APT 15, 55 MOUNTJOY SQ WEST, DUBLIN 1",Dublin 1,Dublin,179000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"APT 37, RIVERWALK, MAIN ST",,Roscommon,45000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"BALLYCANEW, GOREY, CO. WEXFORD",,Wexford,234000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"BALLYHOTE, KILRANE, ROSSLARE HARBOUR",,Wexford,192000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"BOOKEEN, KILNADEEMA, LOUGHREA",,Galway,40000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"BRIDGE HOUSE, AUGHRIM, WICKLOW",,Wicklow,90000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"CLOGHINCH, TEMPLEDERRY, NENAGH",,Tipperary,70000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"CUAN KILDARRA, BANDON, CORK",,Cork,405000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"INISHEER VIEW, LOUGH NORTH, DOOLIN",,Clare,240000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"JUDEHOLME, 9 ST JOSEPHS PARK, THE LOUGH",,Cork,275000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"KILMORE, LIMERICK, CLARE",,Clare,365000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"LAKEVIEW, LATTINALBANY, CARRICKMACROSS",,Monaghan,92000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"MAIN STREET, RATHWIRE, COUNTY WEATMEATH",,Westmeath,70000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"MAIN ST, BALLINAGARE, CASTLEREA",,Roscommon,25000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"NEWTOWN, KILCOCK, KILDARE",,Kildare,340000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"SOOREENY CROSS, SIXMILEBRIDGE, CLARE",,Clare,240000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"THE COTTAGES, KNOCKMORE, BALLINA",,Mayo,57000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"THE MANOR, MANORFIELD, KINNEGAD",,Westmeath,210000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"THE WILLOWS, BALLINTLEAVE, GLENBEIGH",,Kerry,310000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"TIERACLEA, TARBERT, KERRY",,Kerry,80000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"WHITE CASTLE, LEINSTER STREET, ATHY",,Kildare,435000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"1 CLASHEEN LANE, ROSSCARBERY, CORK",,Cork,220000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"1 GLENMAROON RD, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"1 INVER GEAL, CORTOBER, CARRICK ON SHANNON",,Roscommon,122500,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"1 Seagreen Park, Blacklion, Greystones",,Wicklow,541850.22,No,Yes,New Dwelling house /Apartment
7/1/2020,"1 ST HELENS DR, ST HELENS BAY, KILRANE",,Wexford,225000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"1 STATION ROAD, TIMOLEAGUE, CO CORK",,Cork,90000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"106 Knightswood, Matthews Lane, Drogheda",,Meath,252580,No,Yes,New Dwelling house /Apartment
7/1/2020,"11 LOUGH CONN TERRACE, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"112  DOOLARGY  AVE., MUIRHEVNA  MÓR, DUNDALK",,Louth,75000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"12 STONECROFT SHANGANAGHK RD, KILLINEY, DUBLIN",,Dublin,399000,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"12 The Green, Ledwill Park, Kilcock",,Kildare,286343.61,No,Yes,New Dwelling house /Apartment
7/1/2020,"12A/13 UPPER DUBLIN HILL, BLACKPOOL, CO CORK",,Cork,232500,No,No,Second-Hand Dwelling house /Apartment
7/1/2020,"14 NORE TERRACE, MAUDLIN ST, KILKENNY",,Kilkenny,172000,No,No,Second-Hand Dwelling house /Apartment
